playerID,coachID,hofID,firstName,lastName,nameNote,nameGiven,nameNick,height,weight,shootCatch,legendsID,ihdbID,hrefID,firstNHL,lastNHL,firstWHA,lastWHA,pos,birthYear,birthMon,birthDay,birthCountry,birthState,birthCity,deathYear,deathMon,deathDay,deathCountry,deathState,deathCity,goals
allisda01,allisda01c,,Dave,Allison,,David Bryan,Sparky,73,200,R,11830,49,allisda01,1983,1983,,,D,1959,4,14,Canada,ON,Fort Frances,,,,,,,115
allisja01,,,Jason,Allison,,Jason Paul,,75,215,R,15021,50,allisja02,1993,2005,,,C,1975,5,29,Canada,ON,North York,,,,,,,180
allisja02,,,Jamie,Allison,,Jamie,,73,210,L,14815,15567,allisja01,1994,2005,,,D,1975,5,13,Canada,ON,Lindsay,,,,,,,212
allismi01,,,Mike,Allison,,Michael Ernest,Red Dog,72,200,R,11831,51,allismi01,1980,1989,,,L,1961,3,28,Canada,ON,Ft. Frances,,,,,,,208
allisra01,,,Ray,Allison,,Raymond Peter,,70,195,R,11832,52,allisra01,1979,1986,,,R,1959,3,4,Canada,BC,Cranbrook,,,,,,,78
allumbi01,,,Bill,Allum,,William James Douglas,,71,194,L,11833,14230,allumbi01,1939,1940,,,D,1916,10,9,Canada,MB,Winnipeg,1992,3,14,Canada,MB,Winnipeg,85
almasre01,,,Red,Almas,,Ralph Clayton,,69,160,R,18415,11434,almasre01,1946,1952,,,G,1924,4,26,Canada,SK,Saskatoon,2001,5,13,Canada,SK,Regina,135
almonco01,,,Cody,Almond,,,,74,199,L,,89903,almonco01,2009,2011,,,C,1989,7,24,Canada,AB,Calgary,,,,,,,192
alzneka01,,,Karl,Alzner,,,,74,206,L,22210,74658,alzneka01,2008,2011,,,D,1988,9,24,Canada,BC,Burnaby,,,,,,,221
amadida01,,,Dave,Amadio,,David A.,Hoss,73,207,R,11834,56,amadida01,1957,1968,,,D,1939,4,23,Canada,NS,Glace Bay,1981,4,1,,,,124
ambrope01,,,Peter,Ambroziak,,Peter A.,,72,206,L,10019,57,ambrope01,1994,1994,,,L,1971,9,15,Canada,ON,Kanata,,,,,,,155
amodemi01,,,Mike,Amodeo,,Michael Anthony,,70,190,L,11835,60,amodemi01,1979,1979,1972,1978,D,1952,6,22,Canada,ON,Toronto,,,,,,,131
amontto01,,,Tony,Amonte,,Anthony Louis,Bones,72,200,L,10020,62,amontto01,1990,2006,,,R,1970,8,2,USA,MA,Hingham,,,,,,,173
anderbi01,,,Bill,Anderson,,William,Red,72,190,R,11836,21754,anderbi01,1942,1942,,,D,1912,12,13,Canada,ON,Tillsonburg,9999,,,,,,67
andercr01,,,Craig,Anderson,,,,74,180,L,19246,42354,andercr01,2002,2011,,,G,1981,5,21,USA,IL,Park Ridge,,,,,,,209
anderda01,,,Dale,Anderson,,Dale Norman,,75,190,L,11837,11178,anderda01,1956,1956,,,D,1932,3,5,Canada,SK,Regina,,,,,,,26
anderdo01,,,Doug,Anderson,,Douglas,Andy,67,157,L,11838,11691,anderdo01,1952,1952,,,C,1927,10,20,Canada,AB,Edmonton,,,,,,,210
anderea01,,,Earl,Anderson,,Earl Orlin,,73,185,R,11839,66,anderea01,1974,1976,,,R,1951,2,24,USA,MN,Roseau,,,,,,,170
anderer01,,,Erik,Andersson,,Erik,,75,210,L,14957,22600,anderer01,1997,1997,,,L,1971,8,19,Sweden,,Stockholm,,,,,,,44
anderer02,,,Ernie,Anderson,,Ernest Ridley,,66,130,R,,24561,,,,,,R,1898,12,9,Canada,MB,Dynevor St. Peters,,,,,,,77
andergl01,,andergl01h,Glenn,Anderson,,Glenn Christopher,Andy,73,190,L,P200801,67,andergl01,1980,1995,,,R,1960,10,2,Canada,BC,Vancouver,,,,,,,8
anderji01,anderji01c,,Jim,Anderson,,James William,,70,165,L,11840,10057,anderji01,1967,1967,,,L,1930,12,1,Canada,ON,Pembroke,,,,,,,99
anderjo01,anderjo01c,,John,Anderson,,John Murray,Andy,71,200,R,10022,69,anderjo01,1977,1988,,,L,1957,3,28,Canada,ON,Toronto,,,,,,,222
anderjo02,,,Jonas,Andersson,,,,74,202,L,19302,45120,anderjo02,2001,2010,,,R,1981,2,24,Sweden,,Stockholm,,,,,,,7
anderjo03,,,Jocko,Anderson,,John Wilberforce,,67,150,L,,60142,,,,,,L,1892,10,4,Canada,MB,Dynevor St. Peters,,,,,,,200
anderjo04,,,Joakim,Andersson,,,,74,198,,,,anderjo03,2011,2011,,,C,1989,2,5,,,,,,,,,,81
anderke01,,,Kent-Erik,Andersson,,Kent Erik H.,Kenta/Stan,74,185,R,11846,75,anderke01,1977,1983,,,R,1951,5,24,Sweden,,Orebro,,,,,,,248
anderlo01,,,Lorne,Anderson,,Lorne Robert,Andy/Lefty,71,166,L,18416,11452,anderlo01,1951,1951,,,G,1931,7,26,Canada,ON,Renfrew,1984,3,20,Canada,ON,Renfrew,95
andermi01,,,Mikael,Andersson,,Bo Mikael,,71,181,L,10025,76,andermi01,1985,1999,,,L,1966,5,10,Sweden,,Malmo,,,,,,,44
andermu01,,,Murray,Anderson,,Murray Craig,,70,175,L,11841,6795,andermu01,1974,1974,,,D,1949,8,28,Canada,MB,The Pas,,,,,,,64
anderni01,,,Niklas,Andersson,,Niklas P.,,69,180,L,10028,77,anderni01,1992,2000,,,L,1971,5,20,Sweden,,Kungalv,,,,,,,127
anderpe01,,,Perry,Anderson,,Perry Lynn,Wheels,73,225,L,10023,71,anderpe01,1981,1991,,,L,1961,10,14,Canada,ON,Barrie,,,,,,,16
anderpe02,,,Peter,Andersson,,Peter,,74,200,R,11847,34233,anderpe02,1983,1985,,,D,1962,3,2,Sweden,,Federtalve,,,,,,,2
anderpe03,,,Peter,Andersson,,Peter,,72,196,L,14767,78,anderpe03,1992,1993,,,D,1965,8,29,Sweden,,Orebro,,,,,,,124
anderro01,,,Ron,Anderson,,Ronald Chester,Goings,72,170,R,11842,72,anderro01,1967,1971,1972,1973,R,1945,7,29,Canada,AB,Red Deer,,,,,,,137
anderro02,,,Ron,Anderson,,Ronald Henry,,70,165,R,11843,11895,anderro02,1974,1974,,,R,1950,1,21,Canada,NB,Moncton,,,,,,,110
anderro03,,,Ron F.,Anderson,,Ronald Frank,,72,190,R,,11896,anderro03,,,1972,1974,D,1948,11,15,Canada,ON,Dryden,,,,,,,51
anderru01,,,Russ,Anderson,,Russell Vincent,The Enforcer,75,210,L,11844,73,anderru01,1976,1984,,,D,1955,2,12,USA,MN,Minneapolis,,,,,,,92
andersh01,,,Shawn,Anderson,,Shawn Stephen,,73,200,L,10024,74,andersh01,1986,1994,,,D,1968,2,7,Canada,QC,Montreal,,,,,,,242
anderto01,,,Tom,Anderson,,Thomas Linton,Cowboy,70,180,L,11845,14615,anderto01,1934,1941,,,L/D,1910,7,9,Scotland,,Edinburgh,1971,9,15,,,,184
andrast01,,,Steve,Andrascik,,Steven George,,71,200,R,11848,6607,andrast01,1971,1971,1974,1975,R,1948,11,6,Canada,MB,Sherridon,,,,,,,69
andreal01,,,Alexander,Andrevi,,,,,,,,,andreal01,,,1978,1978,,,,,,,,,,,,,,83
andreda01,,,Dave,Andreychuk,,David John,Chukie/Octopus,76,220,R,10029,80,andreda01,1982,2005,,,L,1963,9,29,Canada,ON,Hamilton,,,,,,,26
andrell01,,,Lloyd,Andrews,,Lloyd Thomas,Shrimp,68,155,L,11850,17101,andrell01,1921,1924,,,L,1899,11,4,Canada,ON,Tilsonburg,1974,,,,,,259
andrepa01,,,Paul,Andrea,,Paul Lawrence,,70,174,L,11849,79,andrepa01,1965,1970,1972,1973,R,1941,7,31,Canada,NS,North Sydney,,,,,,,132
andrial01,,,Alexander,Andrievski,,Alexander,,77,211,R,14784,81,andrial01,1992,1992,,,R,1968,8,10,Belarus,,Minsk,,,,,,,223
andrugr01,,,Greg,Andrusak,,Gregory Frederick,,73,195,R,10030,83,andrugr01,1993,1999,,,D,1969,11,14,Canada,BC,Cranbrook,,,,,,,154
andruro01,,,Ron,Andruff,,Ronald Nicholas,,72,185,R,11851,82,andruro01,1974,1978,,,C,1953,7,10,Canada,BC,Chemainus,,,,,,,255
angelme01,,,Mel,Angelstad,,,The Mangler,74,214,L,17014,6012,angelme01,2003,2003,,,L,1972,10,31,Canada,SK,Saskatoon,,,,,,,198
angelmi01,,,Mike,Angelidis,,,,73,200,,,,angelmi01,2011,2011,,,C,1985,6,27,,,,,,,,,,227
angotlo01,angotlo01c,,Lou,Angotti,,Louis Frederick,,69,170,R,11852,87,angotlo01,1964,1973,1974,1974,C,1938,1,16,Canada,ON,Toronto,,,,,,,254
anholda01,,,Darrel,Anholt,,Darrel,,74,230,L,11853,88,anholda01,1983,1983,,,D,1962,11,23,Canada,AB,Hardisty,,,,,,,47
anisiar01,,,Artem,Anisimov,,,,75,190,L,21977,95342,anisiar01,2008,2011,,,C,1988,5,24,Russia,,Yaroslavl,,,,,,,102
anslohu01,,,Hub,Anslow,,Hubert Wallace,,72,173,L,11854,13310,anslohu01,1947,1947,,,L,1926,3,23,Canada,ON,Pembroke,2006,7,2,,,,22
antonmi01,,,Mike,Antonovich,,Michael J.,Antone,68,155,L,11855,90,antonmi01,1975,1983,1972,1978,C,1951,10,18,USA,MN,Calumet,,,,,,,196
antossh01,,,Shawn,Antoski,,Shawn,Moose,76,235,L,10033,92,antossh01,1990,1997,,,L,1970,3,25,Canada,ON,Brantford,,,,,,,46
antroni01,,,Nik,Antropov,,Nikolai,,78,230,L,16452,36977,antroni01,1999,2011,,,C,1980,2,18,Russia,,Vost,,,,,,,254
appssy01,,appssy01h,Syl,Apps,,Charles Joseph Sylvanus (Sr.),Slippery Syl,72,185,L,P196101,12150,appssy01,1936,1947,,,C,1915,1,18,Canada,ON,Paris,1998,12,24,,,,58
appssy02,,,Syl,Apps,,Sylvanus Marshall (Jr.),,72,185,R,11856,96,appssy02,1970,1979,,,C,1947,8,1,Canada,ON,Toronto,,,,,,,81
arboual01,arboual01c,arboual01h,Al,Arbour,,Alger Joseph,Radar,72,180,L,B199601,97,arboual01,1953,1970,,,D,1932,11,1,Canada,ON,Sudbury,,,,,,,76
arbouam01,,,Amos,Arbour,,Amos,Butch,68,160,L,11859,29888,arbouam01,1918,1923,,,L,1895,1,26,Canada,ON,Waubaushene,1943,11,1,Canada,ON,Orillia,37
arbouja01,,,Jack,Arbour,,John Albert,,68,172,L,11860,22844,arbouja01,1926,1928,,,D,1897,3,7,Canada,ON,Waubaushene,1973,9,24,,,,117
arboujo01,,,John,Arbour,,John Gilbert,,71,195,L,11861,98,arboujo01,1965,1971,1972,1976,D,1945,9,28,Canada,ON,Niagara Falls,,,,,,,19
arbouty01,,,Ty,Arbour,,Ernest J.,,67,160,L,11862,22884,arbouty01,1926,1930,,,L,1896,6,29,Canada,ON,Waubaushene,1979,2,11,,,,158
archami01,,,Michel,Archambault,,Michel Joseph,Mike/Pit,68,160,L,11863,99,archami01,1976,1976,1972,1972,L,1950,9,27,Canada,QC,St. Hyacinthe,,,,,,,69
archayv01,,,Yves,Archambault,,Yves,,71,170,L,,10373,archayv01,,,1972,1973,G,1952,6,22,Canada,QC,Montreal,,,,,,,113
archida01,,,Dave,Archibald,,David John,Archie,73,210,L,10034,100,archida01,1987,1996,,,C,1969,4,14,Canada,BC,Chilliwack,,,,,,,158
archiji01,,,Jim,Archibald,,James,,71,175,R,11864,9478,archiji01,1984,1986,,,R,1961,6,6,Canada,SK,Craik,,,,,,,200
areshro01,,,Ron,Areshenkoff,,Ronald,,72,175,L,11865,6241,areshro01,1979,1979,,,C,1957,6,13,Canada,BC,Grand Forks,,,,,,,198
arkhide01,,,Denis,Arkhipov,,,,75,214,L,16470,36988,arkhide01,2000,2006,,,C,1979,5,19,Russia,,Kazan,,,,,,,144
armstbi01,,,Bill,Armstrong,,William Harold,Army,74,195,L,10037,5902,armstbi01,1990,1990,,,C,1966,6,25,Canada,ON,London,,,,,,,216
armstbo01,,,Bob,Armstrong,,Robert Richard,Satch/Beau,73,190,R,11866,104,armstbo01,1950,1961,,,D,1931,4,7,Canada,ON,Toronto,1990,11,6,,,,74
armstch01,,,Chris,Armstrong,,,,72,205,L,14980,6204,armstch01,2000,2003,,,D,1975,6,26,Canada,SK,Regina,,,,,,,218
armstco01,,,Colby,Armstrong,,,,74,188,R,20144,46427,armstco01,2005,2011,,,R,1982,11,23,Canada,BC,Lloydminster,,,,,,,126
armstde01,,,Derek,Armstrong,,Derek,Army,72,190,R,10036,105,armstde01,1993,2009,,,C,1973,4,23,Canada,ON,Ottawa,,,,,,,173
armstge01,armstge01c,armstge01h,George,Armstrong,,George Edward,Chief,73,184,R,P197501,106,armstge01,1949,1970,,,R,1930,7,6,Canada,ON,Skead,,,,,,,181
armstmu01,,,Murray,Armstrong,,Murray Alexander,,70,170,L,11868,107,armstmu01,1937,1945,,,C,1916,1,1,Canada,SK,Manor,2010,12,8,USA,FL,St. Augustine,181
,,armstne01h,Neil,Armstrong,,Neil P.,,,,,O199101,,,,,,,,1932,12,29,Canada,ON,Plympton,,,,,,,189
armstno01,,,Norm,Armstrong,,Norman Gerrard,Red,71,205,L,11869,8767,armstno01,1962,1962,,,D/L,1938,10,17,Canada,ON,Own Sound,1974,7,23,,,,128
armstri01,,,Riley,Armstrong,,,,71,185,R,21598,68990,armstri01,2008,2008,,,R,1984,11,8,Canada,SK,Saskatoon,,,,,,,258
armstti01,,,Tim,Armstrong,,Timothy,,71,170,R,11870,108,armstti01,1988,1988,,,C,1967,5,12,Canada,ON,Toronto,,,,,,,156
arnasch01,,,Chuck,Arnason,,Ernest Charles,,70,183,R,11871,109,arnasch01,1971,1978,,,R,1951,7,15,Canada,MB,Ashern,,,,,,,106
arnasty01,,,Tyler,Arnason,,,,71,204,L,17678,42531,arnasty01,2001,2008,,,C,1979,3,16,USA,OK,Oklahoma City,,,,,,,198
arndtda01,,,Danny,Arndt,,Daniel Henry,,71,175,L,,6646,arndtda01,,,1975,1977,L,1955,3,26,Canada,SK,Saskatoon,,,,,,,173
arnieja01,,,Jamie,Arniel,,,,71,183,,,,arnieja01,2010,2010,,,C,1989,11,16,Canada,ON,Kingston,,,,,,,252
arniesc01,arniesc01c,,Scott,Arniel,,Scott William,,73,188,L,10038,110,arniesc01,1981,1991,,,L,1962,9,17,Canada,ON,Kingston,,,,,,,208
arnotja01,,,Jason,Arnott,,Jason William,,76,220,R,14976,112,arnotja01,1993,2011,,,C,1974,10,11,Canada,ON,Collingwood,,,,,,,138
arsende01,,,Dean,Arsene,,,,74,195,L,,29246,arsende01,2009,2009,,,D,1980,7,20,Canada,BC,Murrayville,,,,,,,90
arthufr01,,,Fred,Arthur,,Frederick Edward,,77,210,L,11872,116,arthufr01,1980,1982,,,D,1961,3,6,Canada,ON,Toronto,,,,,,,10
artyuev01,,,Evgeny,Artyukhin,,,,77,254,L,20316,56840,artyuev01,2005,2009,,,R,1983,4,4,Russia,,Moscow,,,,,,,44
arundjo01,,,John,Arundel,,John O'Gorman,,71,181,L,11873,12117,arundjo01,1949,1949,,,D,1927,11,4,Canada,MB,Winnipeg,2002,9,19,Canada,ON,Kemptville,68
arvedma01,,,Magnus,Arvedson,,Magnus,,74,198,L,11284,28404,arvedma01,1997,2003,,,L,1971,11,25,Sweden,,Karlstad,,,,,,,64
